"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\App.js", "JavaScript", 44, 0, 0, 14, 7, 65
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\App.test.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\ad.svg", "XML", 0, 0, 321, 0, 1, 322
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\aiga-departures-bg.svg", "XML", 0, 0, 168, 0, 1, 169
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\components\DirectionsMap.js", "JavaScript", 38, 0, 0, 0, 5, 43
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\components\FetchData.js", "JavaScript", 60, 0, 0, 0, 8, 68
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\components\Header.js", "JavaScript", 236, 0, 0, 0, 17, 253
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\components\Home.js", "JavaScript", 18, 0, 0, 0, 4, 22
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\components\IndexUsers.js", "JavaScript", 147, 0, 0, 0, 13, 160
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\components\Layout.js", "JavaScript", 14, 0, 0, 0, 3, 17
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\components\LocationDialog.js", "JavaScript", 150, 0, 0, 42, 14, 206
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\components\LocationsGrid.js", "JavaScript", 145, 0, 0, 0, 15, 160
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\components\NavMenu.css", "CSS", 0, 16, 0, 0, 3, 19
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\components\Register.js", "JavaScript", 193, 0, 0, 0, 10, 203
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\components\SignIn.js", "JavaScript", 156, 0, 0, 0, 11, 167
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\components\TravelGuideMap.js", "JavaScript", 305, 0, 0, 0, 38, 343
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\components\UserDialog.js", "JavaScript", 186, 0, 0, 10, 16, 212
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\components\api-authorization\ApiAuthorizationConstants.js", "JavaScript", 33, 0, 0, 0, 6, 39
"c:\Users\Robert\Downloads\lab-g52\lab-g52\TravelGuide.Web\ClientApp\src\components\api-authorization\ApiAuthorizationRoutes.js", "JavaScript", 26, 0, 0, 0, 5, 31
